KODE,NAMA BAHAN,BERAT STANDAR,BDD,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,BKAR,KARTOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,HARGA PER-BERAT STANDAR
FP078,"Soto kudus, masakan",100.0,100.0,91.6,38.0,2.6,2.3,1.8,0.2,1.7,237.0,67.0,1.7,,,,,23.0,,128.0,0.1,,0.5,0.0,0
FP079,"Soto madura, masakan",100.0,100.0,89.8,60.0,3.5,4.5,1.3,0.0,0.9,361.0,126.0,3.8,,,,,26.0,,121.0,0.1,,0.0,0.0,0
FP080,"Soto padang, masakan",100.0,100.0,75.0,127.0,5.9,6.6,11.0,0.7,2.0,298.0,94.0,1.5,,,,,12.0,,204.0,0.2,,0.0,0.0,0
FP081,"Soto pekalongan, masakan",100.0,100.0,83.8,94.0,3.0,6.8,5.1,0.3,1.3,322.0,79.0,2.0,,,,,14.0,,119.0,0.3,,0.0,0.0,0
FP082,"Soto pemalang, masakan",100.0,100.0,86.0,75.0,3.6,5.2,3.5,0.0,1.7,170.0,80.0,2.1,,,,,16.0,,30.0,0.1,,0.0,0.0,0
FP083,"Soto sukaraja, masakan",100.0,100.0,75.9,80.0,3.2,3.5,9.0,0.3,1.1,347.0,77.0,2.3,,,,,12.0,,89.0,0.0,,0.0,0.0,0
FP084,"Soto sulung, masakan",100.0,100.0,88.1,86.0,2.3,8.5,0.0,0.0,1.1,200.0,120.0,2.9,,,,,20.0,,105.0,0.1,,0.0,0.0,0
ER107,"Sowa, segar",100.0,100.0,87.7,48.0,1.6,0.6,9.1,45.0,10.0,50.0,40.0,0.3,9.0,0.0,0.1,1.5,0.0,364.0,,0.2,0.2,0.2,4.0,0
AP106,Spaghetti,100.0,100.0,66.1,139.0,7.4,2.1,22.6,,2.1,109.0,53.0,4.7,,,,,42.0,,940.0,0.4,,,0.0,0
AP107,Srikaya ketan,100.0,100.0,41.0,265.0,2.7,6.4,49.1,,0.8,,,,,,,,,,,,,,,0
ER108,"Srikaya, segar",100.0,48.0,83.4,63.0,1.1,0.5,13.9,2.1,1.1,127.0,30.0,2.7,,,,,0.0,,31.0,0.1,,,28.0,0
FP085,"Sukiyaki, masakan",100.0,100.0,81.0,75.0,5.6,0.4,12.2,0.2,0.8,109.0,59.0,0.5,426.0,,,,41.0,,1200.0,0.4,,,0.0,0
ER109,"Sukun muda, segar",100.0,84.0,69.4,119.0,1.4,0.2,28.1,1.4,1.0,24.0,44.0,1.4,24.0,414.4,0.1,0.1,,28.0,4896.0,0.2,0.2,3.7,52.0,0
ER110,"Sukun tua, segar",100.0,88.0,67.8,126.0,1.6,0.2,24.5,1.5,1.0,37.0,47.0,1.6,25.0,436.0,0.1,0.1,,30.0,2000.0,0.2,0.2,3.9,58.0,0
AP108,Sunduk lawang,100.0,100.0,63.4,181.0,1.9,1.3,32.4,,1.0,,,,,,,,,,,,,,,0
JP005,"Susu asam untuk bayi, bubuk",100.0,100.0,2.5,418.0,19.0,9.0,65.5,0.0,4.0,800.0,600.0,7.0,188.0,486.5,0.0,0.0,303.0,83.0,,1.0,1.3,0.7,30.0,0
JP006,Susu bubuk,100.0,100.0,3.5,513.0,24.6,30.0,36.2,0.0,5.7,904.0,694.0,0.6,380.0,1330.0,0.0,4.1,476.0,118.0,,0.3,1.4,1.6,6.0,0
JR002,Susu ibu - ASI,100.0,100.0,88.1,62.0,1.5,3.2,7.0,0.0,0.2,34.0,20.0,0.2,15.0,41.0,0.0,0.4,,7.0,,0.0,0.0,0.2,,0
JR003,"Susu kambing, segar",100.0,100.0,85.9,64.0,4.3,2.3,6.6,0.0,0.9,98.0,78.0,2.7,35.0,160.0,0.3,0.1,38.0,0.0,,0.1,0.5,0.3,1.0,0
CP060,Susu kedelai,100.0,100.0,87.0,41.0,3.5,2.5,5.0,0.2,2.0,50.0,45.0,0.7,128.0,287.9,0.1,1.0,,,200.0,0.1,0.1,0.7,2.0,0
JP007,Susu kental manis,100.0,100.0,25.0,343.0,8.2,10.0,55.0,0.0,1.8,275.0,209.0,0.2,150.0,320.0,0.0,1.0,155.0,46.0,,0.1,0.4,0.4,1.0,0
JP008,Susu kental tak manis,100.0,100.0,73.7,138.0,7.0,7.9,9.9,,1.5,243.0,195.0,0.2,140.0,303.0,,,121.0,,,0.1,,0.0,1.0,0
JR004,"Susu kerbau, segar",100.0,100.0,73.8,160.0,6.3,12.0,7.1,,0.8,216.0,101.0,0.2,82.0,,,0.3,24.0,,,0.0,0.1,,1.0,0
JR005,"Susu kuda, segar",100.0,100.0,91.0,40.0,2.0,1.1,5.4,0.0,0.4,,,,,37.4,0.0,0.0,,1.0,,0.0,0.2,0.2,,0
JR006,"Susu sapi, segar",100.0,100.0,88.3,61.0,3.2,3.5,4.3,0.0,0.7,143.0,60.0,1.7,36.0,149.0,0.0,0.3,39.0,12.0,,0.0,0.2,0.2,1.0,0
JP009,"Susu skim, bubuk",100.0,100.0,3.5,359.0,35.6,1.0,52.0,0.0,7.9,1300.0,1030.0,0.6,470.0,1745.0,0.0,4.1,,10.0,,0.4,1.1,1.2,7.0,0
JP010,"Susu skim, segar",100.0,100.0,90.5,36.0,3.5,0.1,5.1,,0.8,123.0,97.0,0.1,38.0,,,,0.0,,,0.0,,,1.0,0
BP009,"Suweg, talas, kukus",100.0,100.0,75.5,93.0,1.5,0.1,21.9,0.9,1.0,50.0,58.0,0.8,6.0,350.3,0.1,0.1,0.0,0.0,283.0,0.1,0.0,0.3,0.0,0
BR024,"Suweg, talas, segar",100.0,86.0,80.1,74.0,1.4,0.1,17.2,1.4,1.2,42.0,46.0,1.3,7.0,400.0,0.1,0.1,0.0,24.0,254.0,0.0,0.0,0.4,2.0,0
AP109,Suwir-suwir,100.0,100.0,13.4,347.0,0.5,0.9,84.2,0.8,1.0,42.0,40.0,4.3,,,,,1.0,,240.0,0.1,,0.9,0.0,0
CP062,Tahu goreng,100.0,100.0,77.3,115.0,9.7,8.5,2.5,0.1,2.0,229.0,200.0,4.1,7.0,68.2,0.1,1.3,,0.0,0.0,0.0,0.2,0.0,0.0,0
CP063,Tahu telur,100.0,100.0,41.8,328.0,12.6,19.9,24.6,0.4,1.1,492.0,238.0,4.9,755.0,,,,73.0,,1860.0,0.4,,,0.0,0
CP061,"Tahu, mentah",100.0,100.0,82.2,80.0,10.9,4.7,0.8,0.1,1.4,223.0,183.0,3.4,2.0,50.6,0.2,0.8,,118.0,,0.0,0.1,0.1,,0
CP064,Takwa,100.0,100.0,72.2,148.0,13.8,8.5,4.0,0.0,1.6,140.0,214.0,8.5,3.0,79.0,0.3,1.3,,,920.0,0.2,0.1,0.8,,0
BP010,"Talas bogor, kukus",100.0,100.0,69.2,120.0,1.5,0.3,28.2,0.7,0.8,31.0,63.0,0.7,11.0,498.0,0.2,0.6,0.0,0.0,0.0,0.1,0.6,0.8,2.0,0
BR025,"Talas bogor, segar",100.0,85.0,72.4,108.0,1.4,0.4,25.0,0.9,0.8,47.0,67.0,0.7,10.0,448.0,0.2,0.7,0.0,0.0,0.0,0.1,0.1,1.0,4.0,0
BR026,"Talas pontianak, segar",100.0,83.0,60.0,163.0,2.3,0.5,36.4,0.7,0.9,45.0,80.0,1.7,14.0,323.1,0.3,1.0,0.0,0.0,0.0,0.0,0.1,1.3,,0
BR027,"Talas viqueque, segar",100.0,85.0,70.6,115.0,1.8,0.5,25.9,8.6,1.2,50.0,220.0,0.9,1.0,70.0,0.3,1.0,0.0,0.0,0.0,0.1,0.1,0.9,,0
DR149,"Taoge kacang kedelai, segar",100.0,100.0,81.0,76.0,9.0,2.6,6.4,0.7,1.0,50.0,65.0,1.0,5.0,212.4,0.3,0.7,,0.0,110.0,0.2,0.2,1.2,15.0,0
DR150,"Taoge kacang tunggak, segar",100.0,90.0,88.0,40.0,5.0,0.2,5.8,2.6,1.0,57.0,88.0,1.0,2.0,226.8,0.1,0.5,,299.0,0.0,0.1,0.1,0.8,15.0,0
DP017,"Taoge, goreng",100.0,100.0,79.2,88.0,3.2,2.1,14.0,0.7,1.5,168.0,50.0,5.7,,,,,2.0,,613.0,0.1,,,0.0,0
DP018,"Taoge, seduh",100.0,87.0,91.9,28.0,3.0,0.8,4.0,1.0,0.3,52.0,73.0,0.5,18.0,58.3,0.2,0.4,,46.0,18.0,0.1,0.0,0.9,2.0,0
DR148,"Taoge, segar",100.0,100.0,90.4,34.0,3.7,1.2,4.3,1.1,0.4,166.0,74.0,0.8,19.0,93.3,0.2,0.4,,41.0,20.0,0.1,0.2,1.1,5.0,0
BP063,Tapai singkong,100.0,100.0,57.4,169.0,1.4,0.3,40.2,2.0,0.7,21.0,34.0,0.8,,,,,0.0,0.0,0.0,0.0,,,9.0,0
CP065,Tauco,100.0,100.0,54.0,184.0,11.4,5.5,22.2,1.9,6.9,72.0,463.0,6.0,1766.0,233.0,0.4,1.0,,0.0,664.0,0.3,0.2,0.8,0.0,0
CP066,"Tauco cap beruang, cake",100.0,100.0,11.4,347.0,7.4,5.2,67.6,3.2,8.4,63.0,106.0,6.2,,,,,,,936.0,0.4,,,0.0,0
CP067,"Tauco cap DAS, cake",100.0,100.0,10.2,358.0,7.5,4.3,70.4,3.1,7.6,94.0,94.0,4.5,,,,,,,504.0,0.3,,,0.0,0
CP068,Tauco cap meong,100.0,100.0,59.7,159.0,7.4,4.9,21.3,1.6,6.7,183.0,84.0,10.1,1547.0,204.1,0.3,0.9,,0.0,472.0,0.5,0.2,0.7,0.0,0
CP069,Tauji cap singa,100.0,100.0,30.4,277.0,9.1,4.7,49.6,1.2,6.2,68.0,106.0,3.0,,,,,,,936.0,0.2,,,0.0,0
DR151,"Tebu terubuk (lilin), segar",100.0,20.0,91.0,30.0,4.6,0.4,3.0,0.8,1.0,40.0,80.0,2.0,699.0,,0.2,1.1,,12.0,0.0,0.1,0.2,1.2,50.0,0
FP086,"Tedong pallu basa, masakan",100.0,100.0,81.7,83.0,10.4,3.4,2.8,,1.7,10.0,139.0,2.6,397.0,34.0,0.6,1.3,,,,0.1,0.5,9.0,0.0,0
MP016,Teh hijau daun kering,100.0,100.0,7.7,300.0,28.3,4.8,53.6,9.6,5.6,245.0,415.0,18.9,60.0,5873.9,0.5,0.0,,8400.0,,0.4,1.2,4.6,230.0,0
MP017,Teh hitam daun kering,100.0,100.0,8.0,293.0,24.5,2.8,58.8,8.7,5.9,327.0,313.0,24.3,50.0,5854.8,0.0,0.0,0.0,2700.0,,0.1,0.8,7.6,9.0,0
MP018,Teh melati daun kering,100.0,100.0,8.1,299.0,24.1,3.5,59.0,9.7,5.3,320.0,185.0,31.6,70.0,5848.4,0.5,0.0,0.0,8400.0,,0.1,0.8,7.3,85.0,0
DR153,"Tekokak, kering",100.0,100.0,12.3,302.0,8.3,1.7,72.6,21.2,8.1,370.0,180.0,22.2,9.0,0.0,1044.2,1.0,,187.0,750.0,0.4,0.2,5.1,0.0,0
DR152,"Tekokak, segar",100.0,95.0,89.0,34.0,2.0,0.1,7.9,4.9,1.0,50.0,30.0,2.0,3.0,333.3,0.1,0.2,,23.0,750.0,0.1,0.1,0.9,8.0,0
GP092,"Tekwan, masakan",100.0,100.0,86.7,53.0,1.9,0.9,9.4,,1.1,9.0,41.0,1.0,174.0,42.0,0.0,0.0,99.0,,,0.1,0.0,0.4,,0
HR004,"Telur aAyam ras, bagian putih, segar",100.0,100.0,87.8,50.0,10.8,0.0,0.8,0.0,0.6,6.0,17.0,0.2,164.0,138.5,0.0,0.4,0.0,0.0,,0.0,0.3,0.4,0.0,0
HR001,"Telur ayam kampung, segar",100.0,87.0,73.1,174.0,10.8,14.0,1.2,0.0,0.9,68.0,268.0,4.9,190.0,141.0,0.6,1.5,203.0,23.0,125.0,0.8,0.6,0.2,,0
HR003,"Telur ayam ras, bagian kuning, segar",100.0,100.0,49.4,355.0,16.3,31.9,0.7,0.0,1.7,147.0,586.0,7.2,111.0,107.5,0.2,2.5,606.0,63.0,,0.3,0.5,0.2,0.0,0
HR002,"Telur ayam ras, segar",100.0,89.0,74.3,154.0,12.4,10.8,0.7,0.0,0.8,86.0,258.0,3.0,142.0,118.5,0.2,1.0,61.0,22.0,104.0,0.1,0.4,0.2,0.0,0
HP001,"Telur ayam, dadar, masakan",100.0,100.0,61.9,251.0,16.3,19.4,1.4,0.0,1.0,62.0,250.0,2.5,,,,,36.0,,221.0,0.2,0.0,,0.0,0
HR005,"Telur bebek alabio, segar",100.0,90.0,70.0,187.0,11.8,14.2,3.0,0.0,1.0,60.0,268.0,6.0,115.0,80.0,0.6,1.7,180.0,437.0,,1.6,0.4,0.1,,0
HR008,"Telur bebek tambak, segar",100.0,90.0,67.7,187.0,10.9,12.4,7.9,0.0,1.1,64.0,295.0,5.4,209.0,146.0,0.4,1.8,378.0,471.0,375.0,1.6,0.0,0.1,,0
HP002,"Telur bebek, asin, mentah",100.0,83.0,66.5,179.0,13.6,13.3,4.4,0.0,2.2,120.0,157.0,1.8,483.0,140.1,,,253.0,13.0,,0.3,1.0,0.6,0.0,0
HR006,"Telur bebek, bagian kuning, segar",100.0,100.0,47.0,386.0,17.0,35.0,0.8,0.0,0.2,150.0,400.0,7.0,106.0,90.7,0.1,2.5,870.0,747.0,,0.6,0.7,1.4,0.0,0
HR007,"Telur bebek, bagian putih, segar",100.0,100.0,88.0,54.0,11.0,0.0,0.8,0.0,0.2,21.0,20.0,0.1,184.0,150.2,0.1,0.1,0.0,0.0,,0.0,0.0,0.1,0.0,0
HP003,"Telur bebek, dadar, masakan",100.0,100.0,55.1,301.0,20.0,23.7,0.0,0.0,1.2,71.0,600.0,9.2,,,,,122.0,,613.0,0.4,,,0.0,0
HR009,"Telur burung maleo, segar",100.0,100.0,36.0,436.0,26.5,36.3,0.4,,0.8,154.0,120.0,4.3,77.0,333.0,0.4,2.9,3987.0,,,,1.0,0.2,,0
HR011,"Telur burung puyuh, segar",100.0,100.0,79.8,116.0,10.7,7.0,1.6,0.0,0.9,65.0,191.0,3.5,111.0,11.0,0.1,1.2,95.0,80.0,,0.1,0.7,0.1,0.0,0
HR010,"Telur penyu, segar",100.0,90.0,7.4,136.0,8.6,10.1,2.7,0.0,1.2,66.0,282.0,3.4,478.0,115.0,0.5,1.4,82.0,17.0,,0.2,0.0,0.0,0.0,0
CP070,Tempe bongkrek,100.0,100.0,72.5,119.0,4.4,3.5,18.3,,146.3,27.0,100.0,2.6,,,,,0.0,,,0.1,,,0.0,0
CP071,Tempe gembus P3G,100.0,100.0,81.9,73.0,5.7,1.3,10.3,4.2,0.8,204.0,80.0,1.5,,,,,,,22.0,0.1,0.1,0.9,,0
CP072,Tempe gembus yogya,100.0,100.0,80.7,76.0,6.8,0.7,10.6,5.3,1.1,76.0,142.0,16.5,,,,,,,,0.8,0.0,0.1,,0
CP073,Tempe kacang babi,100.0,100.0,64.0,139.0,12.5,0.8,21.9,1.8,1.2,68.0,182.0,2.6,,,,,,,20.0,0.1,,,,0
CP074,Tempe kacang belimbing,100.0,100.0,58.2,212.0,17.5,10.0,12.9,2.9,1.4,186.0,160.0,2.2,,,,,,,,0.2,,,,0
CP075,Tempe kedelai + jagung,100.0,100.0,70.6,143.0,12.0,5.5,11.4,1.9,0.6,155.0,156.0,6.8,,,,,,,1320.0,0.3,0.2,1.2,,0
CP076,"Tempe kedelai murni, goreng",100.0,100.0,36.8,350.0,24.5,26.6,10.4,4.2,1.8,202.0,296.0,4.9,22.0,626.7,0.8,2.5,,,78.0,0.2,0.6,3.3,0.0,0
CP077,"Tempe kedelai murni, mentah",100.0,100.0,55.3,201.0,20.8,8.8,13.5,1.4,1.6,155.0,326.0,4.0,9.0,234.0,0.6,1.7,,0.0,,0.2,0.6,4.9,,0
CP078,Tempe koro benguk,100.0,100.0,64.0,141.0,10.2,1.3,23.2,,1.3,42.0,15.0,2.6,,,,,0.0,,,0.1,,,0.0,0
CP079,Tempe lamtoro,100.0,100.0,66.8,128.0,10.7,0.5,21.3,7.1,0.7,203.0,108.0,0.6,,,,,,,121.0,0.2,,,2.0,0
CP080,"Tempe lamtoro var, gung dengan kulit",100.0,100.0,65.1,146.0,11.7,2.3,19.6,7.6,1.3,128.0,41.0,6.8,,,,,,,1370.0,0.2,,1.4,,0
CP081,"Tempe lamtoro var, gung tanpa kulit",100.0,100.0,67.1,131.0,18.0,0.8,13.0,1.3,1.1,95.0,154.0,12.4,,,,,,,5900.0,0.2,0.0,2.6,,0
CP082,Tempe pasar,100.0,100.0,68.3,150.0,14.0,7.7,9.1,1.4,0.9,517.0,202.0,1.5,7.0,165.9,0.4,1.2,,0.0,,0.2,0.4,3.6,,0
CP083,Tempe pasar goreng,100.0,100.0,42.9,336.0,20.0,28.0,7.8,3.4,1.3,156.0,350.0,3.0,20.0,566.2,0.8,2.2,,,10.0,0.1,0.5,3.0,0.0,0
NP010,Tempoya,100.0,100.0,70.1,110.0,1.7,1.3,21.9,2.6,5.0,190.0,45.0,2.9,597.0,486.3,,,,71.0,,0.3,0.0,1.1,0.0,0
BP064,Tepung Arrowroot,100.0,100.0,13.6,355.0,0.7,0.2,85.2,0.4,0.3,8.0,22.0,1.5,2.0,10.7,0.0,0.1,,20.0,3.0,0.1,0.0,0.0,0.0,0
BP065,Tepung Ganyong,100.0,100.0,13.6,353.0,0.8,1.7,83.6,0.7,0.3,4.0,31.0,3.3,3.0,63.5,0.1,0.3,,0.0,0.0,0.0,0.0,0.9,1.0,0
BP066,Tepung Gaplek,100.0,100.0,13.0,345.0,2.4,0.4,83.1,6.7,1.1,18.0,95.0,1.5,6.0,55.0,0.4,1.2,,1.0,0.0,0.3,0.2,0.1,0.0,0
CP084,Tepung hunkwe (pati kacang ijo),100.0,100.0,10.0,364.0,4.5,1.0,83.5,16.1,1.0,50.0,100.0,1.0,15.0,1232.9,0.9,2.7,0.0,,,0.0,0.2,2.2,0.0,0
CP085,Tepung Jalejo,100.0,100.0,10.0,388.0,19.0,7.5,61.2,5.8,2.3,101.0,663.0,2.0,3.0,712.0,0.6,1.9,,1000.0,0.0,0.0,0.7,1.6,9.0,0
CP086,Tepung kacang kedelai,100.0,100.0,9.0,347.0,35.9,20.6,29.9,5.8,4.0,195.0,544.0,8.4,52.0,2522.6,4303.45,2.6,,0.0,140.0,0.8,0.3,2.1,0.0,0
BP067,"Tepung kentang, kering",100.0,100.0,13.0,347.0,0.3,0.1,85.6,0.4,1.0,20.0,30.0,0.5,51.0,156.3,0.2,0.5,,0.0,0.0,0.0,0.0,0.4,0.0,0
BP068,Tepung Mocaf,100.0,100.0,11.9,350.0,1.2,0.6,85.0,6.0,1.3,60.0,64.0,15.8,8.0,403.0,0.1,0.6,,0.0,0.0,0.0,0.0,0.7,2.0,0
EP014,Tepung Pisang,100.0,100.0,13.8,338.0,2.9,0.4,80.6,5.3,2.1,23.0,62.0,4.0,18.0,734.0,0.1,0.5,,13.0,1.0,0.0,0.0,1.0,2.0,0
BP069,Tepung Sente,100.0,100.0,15.3,326.0,4.0,0.4,76.7,8.5,3.6,41.0,141.0,3.5,14.0,1602.0,0.4,1.4,,0.0,0.0,0.0,0.2,7.7,0.0,0
BP070,Tepung singkong/ Tapioka,100.0,100.0,9.1,363.0,1.1,0.5,88.2,0.9,1.1,84.0,125.0,1.0,1.0,7.1,0.0,0.1,,0.0,,0.0,0.0,0.4,0.0,0
EP015,Tepung Sukun,100.0,100.0,10.1,353.0,2.9,0.5,84.4,3.7,2.1,100.0,85.0,4.6,9.0,2008.0,0.1,0.6,,0.0,0.0,0.4,0.0,0.1,3.0,0
BP071,Tepung Tales Beneng,100.0,100.0,12.2,332.0,5.7,0.6,76.1,12.2,5.5,59.0,302.0,10.7,7.0,1404.0,0.8,6.2,,0.0,0.0,0.0,0.1,0.3,0.0,0
AP025,Tepung terigu,100.0,100.0,11.8,333.0,9.0,1.0,77.2,0.3,1.0,22.0,150.0,1.3,2.0,0.0,0.0,2.8,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0
BP072,Tepung Ubi Ungu,100.0,100.0,9.4,354.0,2.8,0.6,84.4,12.9,2.8,89.0,125.0,3.9,42.0,940.0,0.8,0.6,,0.0,0.0,0.4,0.0,0.0,0.0,0
NP011,Terasi,100.0,100.0,33.8,155.0,22.3,2.9,9.9,2.7,31.1,3812.0,726.0,78.5,1664.0,821.4,1.0,2.4,,0.0,0.0,0.2,0.0,3.3,0.0,0
NP012,Terasi dobo,100.0,100.0,58.4,191.0,33.1,3.6,6.6,1.6,11.5,2250.0,1130.0,22.9,650.0,1260.0,2.9,5.0,,0.0,,3.7,0.2,2.0,,0
NP013,Terasi merah,100.0,100.0,40.0,174.0,30.0,3.5,5.6,2.2,20.4,100.0,150.0,3.1,7850.0,302.8,0.5,1.2,,0.0,0.0,0.0,0.1,1.7,0.0,0
GP093,"Teri belado, masakan",100.0,100.0,25.8,365.0,23.7,22.3,17.5,0.0,10.9,869.0,348.0,4.0,,,,,27.0,,1567.0,0.1,,,0.0,0
GP050,"Teripang, dendeng, mentah",100.0,100.0,12.5,462.0,39.1,32.4,3.5,0.0,12.5,499.0,616.0,96.4,315.0,402.5,,,2.0,0.0,144.0,1.4,0.0,5.3,0.0,0
DR155,"Terong asam, segar",100.0,100.0,90.5,37.0,2.0,0.4,6.3,3.2,0.8,13.0,59.0,1.5,3.0,155.0,0.3,0.3,,97.0,,0.2,0.1,0.8,4.0,0
DR158,"Terong hintalo, segar",100.0,100.0,89.2,45.0,1.9,0.8,7.5,5.1,0.6,19.0,268.0,1.0,167.0,142.0,0.6,0.2,,552.0,,0.2,0.4,,4.0,0
DR154,"Terong, segar",100.0,100.0,92.7,28.0,1.1,0.2,5.5,2.1,0.5,15.0,37.0,0.4,9.0,187.0,0.1,0.1,,46.0,30.0,0.0,0.0,0.5,5.0,0
DR156,"Terung belanda, segar",100.0,100.0,87.3,52.0,2.1,1.1,8.6,1.4,1.0,16.0,40.0,1.1,,,,,0.0,,8048.0,0.4,0.1,0.0,12.0,0
DR157,"Terung bengkulu, segar",100.0,100.0,86.6,52.0,1.1,0.4,11.2,3.2,0.8,19.0,39.0,1.1,14.0,,0.2,1.0,0.0,85.0,600.0,0.2,0.0,0.0,6.0,0
DR159,Terung panjang,100.0,100.0,91.8,25.0,2.1,0.1,5.3,0.5,0.7,38.0,24.0,0.7,9.0,53.7,0.1,0.2,0.0,83.0,24.0,0.2,0.1,0.7,8.0,0
DP019,"Terung panjang, kukus",100.0,100.0,92.7,23.0,1.8,0.1,4.9,0.4,0.5,40.0,13.0,0.5,9.0,57.0,67.1,0.2,0.0,99.0,20.0,0.0,0.1,0.7,1.0,0
FP087,"Tikus rica, masakan",100.0,100.0,54.9,257.0,18.8,18.5,3.8,,4.0,232.0,293.0,6.5,1724.0,308.0,0.5,2.3,674.0,,,0.3,0.4,,,0
DP058,Tinira ninahu nggaluku,100.0,100.0,91.8,33.0,1.2,1.3,4.1,3.1,1.5,35.0,35.0,0.0,161.0,119.0,0.2,0.7,,6.0,0.0,0.3,0.0,3.5,10.0,0
FP088,"Tinoransa, masakan",100.0,100.0,31.6,516.0,17.7,49.5,0.0,,1.2,698.0,648.0,3.5,1307.0,320.0,0.1,1.8,710.0,,,0.3,0.2,,,0
AP110,Tipa-tipa,100.0,100.0,11.3,355.0,6.2,1.2,79.8,1.3,1.5,17.0,328.0,1.6,,,,,0.0,0.0,0.0,0.3,0.0,1.5,0.0,0
BP073,Tiwul,100.0,100.0,11.2,353.0,2.4,1.1,83.4,6.5,1.6,55.0,95.0,4.7,5.0,670.0,0.2,0.8,,0.0,0.0,0.0,0.0,0.1,3.0,0
BP074,Tiwul Instan,100.0,100.0,9.1,395.0,3.2,8.5,76.5,4.2,2.7,81.0,81.0,5.8,377.0,469.0,2.1,1.2,,0.0,0.0,0.4,0.2,0.2,4.0,0
DR161,"Tomat merah, segar",100.0,100.0,92.9,24.0,1.3,0.5,4.7,1.5,0.6,8.0,77.0,0.6,10.0,164.9,0.1,0.2,,575.0,2083.0,0.1,0.1,0.4,34.0,0
DR162,"Tomat muda, segar",100.0,95.0,93.0,24.0,2.0,0.7,3.3,1.8,2.0,5.0,27.0,0.5,10.0,210.0,0.1,0.2,,384.0,320.0,0.1,0.0,0.7,30.0,0
DR160,"Tomat, air (sari), segar",100.0,100.0,94.0,20.0,1.0,0.2,3.5,0.4,1.3,7.0,15.0,0.4,10.0,225.2,0.1,0.1,,266.0,600.0,0.1,0.0,0.7,10.0,0
GP094,"Tumis bandeng, masakan",100.0,100.0,70.5,189.0,11.3,15.7,0.6,,1.9,56.0,129.0,0.4,314.0,280.0,0.1,0.7,579.0,,,0.5,0.0,,,0
DP059,Tumis bayam bersantan,100.0,100.0,91.2,48.0,1.4,4.2,2.6,0.5,0.6,129.0,27.0,0.8,,,,,0.0,,2988.0,0.0,,,22.0,0
GP095,Tumis keumamah,100.0,100.0,45.7,300.0,14.5,20.0,15.5,4.5,4.3,,,,,,,,,8.0,,0.6,0.0,,7.0,0
BP075,Ubi Cilembu,100.0,89.6,52.7,186.0,1.9,0.2,44.3,3.4,0.9,37.0,51.0,0.6,1.0,61.9,0.1,0.2,,26.0,0.0,0.0,0.2,0.0,0.0,0
BR029,"Ubi jalar manis, segar",100.0,85.0,78.4,83.0,1.5,0.2,18.8,0.6,1.1,27.0,162.0,2.1,52.0,320.7,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0
BR030,"Ubi jalar merah, segar",100.0,86.0,61.9,151.0,1.6,0.3,35.4,0.7,0.6,29.0,74.0,0.7,92.0,565.6,0.3,0.5,0.0,0.0,1208.0,0.1,0.1,0.7,11.0,0
BR031,"Ubi jalar putih, segar",100.0,86.0,77.8,88.0,0.4,0.4,20.6,4.0,0.8,30.0,10.0,0.5,2.0,4.0,0.1,0.2,0.0,13.0,264.0,0.3,0.1,0.5,36.0,0
BR032,Ubi jalar tinta/ kemayung,100.0,85.0,72.5,108.0,0.5,0.4,25.6,4.2,1.0,30.0,40.0,0.5,1.0,1.0,0.1,0.2,0.0,13.0,0.0,0.1,0.1,0.6,24.0,0
BP012,Ubi jalar tinta/ kemayung kukus,100.0,100.0,58.5,165.0,0.9,0.2,39.8,1.1,0.6,20.0,23.0,0.8,1.0,0.9,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0
BR028,"Ubi jalar, kuning, segar",100.0,85.0,72.6,119.0,0.5,0.4,25.1,4.2,1.0,30.0,40.0,0.4,3.0,1.0,0.1,0.2,0.0,794.0,4948.0,0.1,0.1,0.7,21.0,0
BP011,"Ubi jalar, kuning, kukus",100.0,100.0,74.2,100.0,0.7,0.3,23.8,1.0,1.0,44.0,46.0,0.4,3.0,0.8,0.1,0.2,0.0,819.0,4427.0,0.0,0.1,0.6,16.0,0
DR163,"Uceng/ bunga melinjo, segar",100.0,89.0,79.5,82.0,5.8,1.3,11.7,4.8,1.7,70.0,266.0,2.4,,,,,,,58.0,0.1,0.2,,3.0,0
GR082,"Udang galah, segar",100.0,68.0,79.0,81.0,16.5,0.3,3.0,0.0,1.2,87.0,167.0,0.7,95.0,132.0,0.7,1.2,,3.0,,0.2,0.0,2.9,,0
GP051,"Udang kering, mentah",100.0,100.0,14.9,278.0,62.6,4.1,2.2,,16.2,760.0,510.0,5.2,540.0,360.0,2.4,3.2,39.0,,,,,0.1,,0
GP052,"Udang papay, mentah",100.0,100.0,24.5,273.0,47.8,3.8,12.5,,11.5,1109.0,789.0,2.4,651.0,802.0,2.6,10.8,,,,,,,,0
