KODE,NAMA BAHAN,BERAT STANDAR,BDD,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,BKAR,KARTOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,HARGA PER-BERAT STANDAR
FP010,"Rusa, daging, dendeng, mentah",100.0,100.0,18.3,536.0,40.5,41.5,0.0,,2.5,90.0,420.0,13.4,130.0,690.0,0.3,10.7,285.0,,,,,0.2,,0
GR081,Rusip,100.0,100.0,58.5,110.0,11.5,2.0,11.7,0.0,16.3,479.0,348.0,7.1,,,,,0.0,,0.0,0.0,,,0.0,0
FP063,"RW, anjing, masakan",100.0,100.0,60.8,198.0,24.6,10.7,0.9,,3.0,1071.0,876.0,4.0,1604.0,226.0,0.1,2.8,256.0,,,0.4,0.2,,,0
GP087,"Saboko gurita, masakan",100.0,100.0,76.2,87.0,15.7,1.5,2.6,,4.1,60.0,14.0,2.1,200.0,180.0,0.9,4.0,38.0,,,,,,,0
GP088,"Saboko saltan, masakan",100.0,100.0,76.0,113.0,17.1,3.6,3.0,,0.3,240.0,60.0,0.5,40.0,350.0,0.2,0.6,27.0,,,,,0.1,,0
GP089,"Saboko sardin, masakan",100.0,100.0,70.0,110.0,12.9,4.3,4.9,,7.9,220.0,520.0,6.0,200.0,280.0,0.2,3.9,37.0,,,,,,,0
CR051,"Saga merah terkupas, mentah",100.0,100.0,8.1,449.0,30.6,25.5,31.9,3.5,3.9,1062.0,161.0,14.2,66.0,1496.5,0.1,5.7,,,107.0,0.1,1.5,10.9,7.0,0
BR018,"Sagu aren, kering",100.0,100.0,11.9,355.0,0.6,1.1,85.6,0.3,0.8,91.0,167.0,2.2,2.0,200.0,0.0,0.3,,,0.0,0.0,0.1,0.5,0.0,0
BR019,"Sagu aren, segar",100.0,100.0,42.5,231.0,0.6,0.2,56.6,3.2,0.1,20.0,20.0,0.1,7.0,0.0,0.1,0.1,0.0,,0.0,0.2,0.0,0.0,0.0,0
BP057,Sagu forno,100.0,100.0,31.5,291.0,0.5,4.0,63.4,,0.6,10.0,20.0,0.8,40.0,50.0,0.1,0.2,0.0,0.0,0.0,,,,0.0,0
BR020,Sagu kasbi segar,100.0,100.0,42.5,230.0,0.6,0.2,56.5,3.0,0.2,20.0,1.0,0.3,100.0,410.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0
BP058,Sagu Lemak (Kue Sagon),100.0,100.0,4.3,452.0,2.8,14.8,76.8,1.1,0.7,15.0,39.0,1.1,182.0,52.7,0.0,0.8,,1220.0,0.0,0.3,0.0,0.1,0.0,0
BR021,Sagu lempeng,100.0,100.0,13.5,347.0,0.9,0.3,85.2,4.7,0.1,30.0,30.0,0.2,11.0,0.0,0.1,0.1,0.0,0.0,,0.3,0.0,0.0,0.0,0
BP059,Sagu manis,100.0,100.0,32.6,287.0,0.5,3.9,62.4,,0.6,8.0,17.0,0.7,34.0,42.0,0.1,0.2,0.0,0.0,0.0,,,,0.0,0
